in_par_id,out_par_id,factor
1,7,1000
2,7,1000
3,1,1
4,1,0.001
5,1,1
6,2,1000
7,3,1000
8,11,1
9,2,1000
10,2,1
11,2,1000
12,3,1000
13,4,0.001
14,4,1
15,4,1000
16,4,1000
17,5,0.001
18,5,1
19,5,1000
20,5,0.001
21,5,1000
22,5,1000
23,6,0.001
24,6,1
25,6,1000
26,6,1000
29,7,1
31,18,1
32,18,0.000001
33,18,1000
34,8,0.000000001
35,8,0.001
36,8,1
37,8,1000
38,4,0.001
39,4,1
40,9,1000
41,9,1000
42,6,1
43,9,1000
44,9,1000
45,9,1000
46,2,1
47,9,1
48,12,1
49,17,1
50,18,1
53,5,1
54,8,0.001
55,8,1
56,1,1
57,4,1
58,5,1
59,6,1
60,8,1
61,10,1
62,11,1
63,20,1
64,17,1
65,7,1
66,7,1000
67,7,1
68,7,1000
69,10,0.001
70,10,1
71,10,1000
72,10,1
73,17,1000
74,7,1000
76,17,1
77,17,1000
79,14,1000
80,18,1
81,11,0.001
82,11,1
83,11,1000
84,11,1000
85,14,1000
86,14,1000
88,18,0.001
89,18,1
90,18,1000
91,20,1
92,12,0.001
93,12,1
95,12,1000
96,13,1000
97,13,1000
98,12,1
99,12,1000
100,14,1
101,15,1
102,15,1000
103,15,1000
104,16,1
105,15,1
106,15,1000
107,17,1
108,18,1
109,19,1
110,20,0.001
111,20,1
112,20,1000
113,20,1000
