mdir_type,teotil_type,totp_eff_pct,totn_eff_pct,bof5_eff_pct,kof_eff_pct,ss_eff_pct
Annen rensing,Annen rensing,75,20,85,85,60
Biologisk,Biologisk,30,20,90,80,85
Kjemisk,Kjemisk,90,20,75,75,88
Kjemisk-biologisk,Kjemisk-biologisk,95,25,95,90,90
Kjemisk-biologisk med nitrogenfjerning,Kjemisk-biologisk m/N-fjerning,95,70,95,95,95
Mekanisk,Mekanisk,15,15,20,40,45
Mekanisk - sil/rist,"Mekanisk - sil, rist",15,15,20,35,45
Mekanisk - slamavskiller,Mekanisk - slamavskiller,15,15,20,50,45
Naturbasert,Naturbasert,75,20,85,85,87
Urenset,Urenset,0,0,0,0,0
